Start_Time,End_Time,Text,Confidence
0.4,2.7,I'm going to have you alert me to look up,0.803295373916626
5.5,7.1, sure sure the algorithm,0.9024168252944946
21.0,23.0, still see her for a second I'll shrink your back download,0.7582888603210449
35.2,37.2, another thing to mention is that,0.8678698539733887
43.8,45.2, church so I won't ask questions,0.8673149347305298
48.6,49.0, sure,0.9517567753791809
60.2,62.3, no problem,0.9832136034965515
90.8,92.3, so I just answer the questions,0.8229508996009827
99.8,100.4, ChaCha,0.7655596733093262
105.0,105.5, okay,0.8317061066627502
114.7,115.0, sure,0.9348763227462769
133.0,133.6, okay,0.9752684831619263
136.2,137.3, yeah I'm ready I'm cool,0.9849342703819275
144.6,147.5, good nice day no traffic to get here,0.7953259944915771
150.3,151.3, so you have no complaints,0.9028036594390869
161.6,162.4, the East Coast,0.9437274932861328
180.2,191.1, well the weather is fairly consistent I like the surfing probably the most I like about it allies the surfing the beach surf can't do that anywhere else,0.9234153032302856
197.4,199.4, traffic flaky people,0.9154926538467407
200.8,215.1, you're a different culture than the East Coast education's more valued back East so what I don't like is probably the personality is people here in traffic,0.8961426615715027
224.9,231.8, not currently but I have traveled a lot in the past but currently not really traveling,0.9535040259361267
239.1,262.5, changes the environment seeing different yo meeting different people that different cultures obviously depending where I'm traveling from traveling to Orange County it's not an entirely different deal in here but I mean like your upper would have would have you just different cultures different environments seeing different things,0.9321417212486267
263.9,268.7, but obviously you couldn't see from sitting at home in your couch,0.9613122344017029
276.0,310.7, David I've been to Europe many times in 2003 I went to Europe for several months just traveling around and I went to places I've never been before like Scandinavia and parts of Eastern Europe and I was interesting cuz I'd never know the typical Spain Italy London France trip I've done a million times but I've never been to Scandinavia which is a little bit different than Western Europe and obviously Eastern Europe is very different to,0.9440740346908569
321.1,323.8, oh gosh many of them,0.9701430201530457
327.6,333.7, that's a tough question cuz I've had many good experiences traveling on,0.905829668045044
335.2,342.9, okay not that particular trip but running with the bulls in Pamplona Spain that's very memorable which is actually going on right now as we speak,0.9678846001625061
349.9,352.7, history and political science,0.9656246304512024
359.8,369.7, trade basically so yeah wholesale trade if you will so buying selling,0.9441328048706055
371.3,373.8, so I guess you could say distribution,0.9821481704711914
380.6,400.6, equipment my main job that is my main job so I guess it's Logistics you can call it so basically the logistics of moving goods from point A to point B Freight forwarding you could call it,0.9335974454879761
401.5,403.5, many different variants of it,0.9517061710357666
412.4,413.1, I'm outgoing,0.842362105846405
420.8,436.1, because I am not shy I can talk to any stranger in a room on the street I'm not really afraid of people that I'm I'm not nervous or afraid so I'm comfortable talking to strangers,0.9549687504768372
437.6,445.5, not that I'm going up to every person on the street and having a conversation but if I'm at a party I don't know anybody I can strike up a conversation very easily,0.9666190147399902
454.2,471.5, it's good. But I'm the only one out here my family lives on the east coast and in abroad so but with technology it's easy to communicate with the email Facebook Skype so even though distance wise,0.9268208146095276
472.5,477.4, separated it's pretty much easy and free to stay in communication,0.9607789516448975
487.5,488.7, I know it's not,0.9691904783248901
494.1,499.7, whatever like to yeah I just to relax and avoid stress I go surfing big stress reliever,0.8912357687950134
501.6,510.0, I go surfing and it's pretty intense pain can be dangerous and that relaxes me,0.8845745325088501
